【Gemini 本轮扫描分析】

状态：success
模型：gemini-2.5-flash
紧急度：normal

【执行摘要】
本轮扫描未发现达到币种专属阈值的短线强异动信号。多数观察币种因历史样本不足、高杠杆占比过高、现货主导或钱包集中度过高等原因被风控否决。现货异常比例略有升高，但仍在阻断阈值以下。整体市场环境平稳，无明显异常信号值得立即关注。

【数据质量】
本轮扫描成功率为100%，未出现部分成功或失败的钱包。现货语义质量显示可信数据9089条，异常隔离596条，异常率为6.15%，略高于正常水平，但低于10.00%的阻断阈值。多数“只观察”币种存在“历史样本/胜率不足”的风险提示，表明部分币种数据积累尚不充分。

【市场与资金结构】
BTC当前处于“near_high”状态，ETH处于“neutral”状态。
资金费率普遍较低，风险评估为低。
流动性方面，DOGE、PAXG、PENDLE、VVV、ZRO、BNB、KAITO的24小时成交额较低，流动性风险评估为高。XMR、LIT、TAO的流动性风险为中。
本轮无短线强信号或异动雷达触发。
在“只观察”币种中：
*   NEKO：偏空，现货主导，本轮现货主动变化流出约-$2.19亿，钱包质量加权资金流出约-$1.69亿。
*   HYPE：偏多，合约主导，本轮合约主动变化流入约$221万，但同方向高杠杆仓位占比51%。
*   ETH：偏空，合约主导，本轮合约主动变化流出约-$891万，同方向高杠杆/爆仓边缘仓位占比64%，平均杠杆13.3x。
*   XRP：偏空，合约主导，本轮合约主动变化流出约-$109万，同方向高杠杆/爆仓边缘仓位占比79%，平均杠杆15.5x。
*   LIT：偏多，滚动建仓/减仓，低/中杠杆仓位占比100%，平均杠杆4.8x，但流动性偏低。
*   TAO：偏多，滚动建仓/减仓，低/中杠杆仓位占比99%，平均杠杆5.1x，但流动性偏低。
*   ZEC：偏空，高杠杆/爆仓边缘仓位占比72%，平均杠杆8.5x。
*   PUMP：偏多，高杠杆/爆仓边缘仓位占比65%，平均杠杆7.5x。
*   ENA：偏空，高杠杆/爆仓边缘仓位占比89%，平均杠杆9.1x。
*   MAX、UANSEM、BASED、KNTQ、BUDDY、UPUMP、UAVAX、BRIDGE、UBONK、HWAVE等币种均存在现货主导、钱包集中度过高、Top1贡献过高或持续性不足等风险，且多为现货主导的滚动信号。
单钱包主动变化Top显示，0xdcac...9ce2钱包对NEKO进行现货减持约-$2.19亿（未发现成交证据），0xecb6...2b00钱包对ETH进行合约空单减持约-$354万（高杠杆短线型），0x5b5d...c060钱包对SOL进行合约空单减持约-$201万（高杠杆短线型），这些均为大额异动。

【相比上次 AI 分析】
上次 AI 分析报告不完整，无法进行有效比较。

【重点观察】
*   **LIT (偏多)**
    *   **方向：** 看多
    *   **理由：** 滚动建仓/减仓信号，低/中杠杆仓位占比100%，平均强平距离较安全。
    *   **风险：** 历史样本/胜率不足，窗口内含断跑gap，流动性偏低（24h成交额$8.79M）。
*   **TAO (偏多)**
    *   **方向：** 看多
    *   **理由：** 滚动建仓/减仓信号，低/中杠杆仓位占比99%，平均强平距离较安全。
    *   **风险：** 历史样本/胜率不足，流动性偏低（24h成交额$8.58M）。

【AI 风控结论】
*   LIT: WATCH
*   NEKO: VETO
*   HYPE: VETO
*   TAO: WATCH
*   ZEC: VETO
*   ETH: VETO
*   XRP: VETO
*   PUMP: VETO
*   ENA: VETO
*   MAX: VETO
*   UANSEM: VETO
*   BASED: VETO
*   KNTQ: VETO
*   BUDDY: VETO
*   UPUMP: VETO
*   UAVAX: VETO
*   BRIDGE: VETO
*   UBONK: VETO
*   HWAVE: VETO

【本地完整性校验】
⚠️ AI 输出被截断或缺少必需章节，本轮结论仅供复查，不进入成功状态。
